zcta,county,population,households,median_hh_income,pct_ba_plus,pct_asian_nh,pct_hispanic,median_age,log_density,owner_occupied_pct,avg_vehicles_per_hh,pct_hh_with_kids,pop_density_per_sqkm,total_vehicles_dmv,bev_pct,hev_pct,phev_pct,pct_new_BEV,avg_vehicle_age,home_charging_proxy,nearest_dcfast_km
92328,Inyo,872.0,405.0,91198.0,46.7,0.8,31.3,43.7,-0.6931471805599453,21.98,2.28,9.6,0.5,195.0,1.54,2.56,0.0,3.45,7.36,18.27,81.73
92384,Inyo,18.0,10.0,,100.0,0.0,0.0,,,0.0,2.0,0.0,0.0,55.0,1.82,0.0,0.0,0.0,5.47,0.0,9.2
92389,Inyo,169.0,98.0,26731.0,7.3,5.3,5.9,67.7,-0.6931471805599453,87.76,2.09,0.0,0.5,99.0,1.01,5.05,0.0,16.67,7.55,43.88,13.29
93201,Tulare,1146.0,271.0,51181.0,0.0,0.6,86.7,23.9,1.7404661748405046,31.73,2.2,60.5,5.7,765.0,0.26,1.18,0.52,4.0,8.52,20.66,22.7
93202,Kings,4014.0,946.0,60450.0,7.5,10.9,73.6,27.0,7.7886260656250315,61.52,2.14,48.7,2413.0,3244.0,0.55,2.71,0.77,2.8,7.8,57.82,3.32
93203,Kern,20571.0,4768.0,49918.0,4.4,0.6,94.1,25.2,3.6054978451748854,52.39,2.07,63.2,36.8,13781.0,0.72,2.29,0.87,5.29,8.08,49.79,10.83
93204,Kings,13441.0,2949.0,52986.0,4.4,1.1,86.5,32.3,4.484131857611035,44.83,2.2,54.3,88.6,6786.0,0.44,2.52,0.74,2.92,8.14,41.51,9.48
93205,Kern,2191.0,839.0,33295.0,13.5,0.0,7.8,40.1,2.6878474937846906,56.26,1.61,25.7,14.7,1515.0,0.4,2.97,0.33,0.99,8.28,26.58,42.01
93206,Kern,1953.0,551.0,53170.0,6.9,0.0,80.7,27.1,1.6094379124341003,35.03,1.73,51.0,5.0,1809.0,0.28,1.44,0.22,1.29,7.42,31.4,8.2
93207,Tulare,247.0,81.0,,20.7,0.0,0.4,40.6,0.47000362924573563,77.78,2.44,44.4,1.6,226.0,1.33,1.77,0.88,11.11,7.46,64.2,31.94
93208,Tulare,175.0,148.0,63861.0,39.4,0.0,0.0,65.8,0.09531017980432493,100.0,1.14,0.0,1.1,1.0,0.0,0.0,0.0,,14.0,100.0,28.4
93210,Fresno,18975.0,4656.0,77850.0,12.4,2.6,66.3,36.1,2.2300144001592104,52.81,1.96,41.3,9.3,10393.0,1.05,3.61,0.71,6.37,7.63,48.0,16.51
93212,Kings,23407.0,4607.0,54149.0,3.6,1.2,74.4,34.5,4.446174454497633,49.92,1.85,51.8,85.3,10391.0,0.44,2.19,0.42,2.04,7.82,46.6,23.56
93215,Kern,53627.0,12681.0,61329.0,8.1,13.0,76.9,33.3,4.920710586568268,59.83,2.1,48.1,137.1,32234.0,0.82,2.94,0.67,5.24,7.57,56.41,5.26
93218,Tulare,779.0,155.0,88750.0,11.0,0.0,89.6,27.3,1.547562508716013,68.39,2.48,58.7,4.7,734.0,0.27,1.63,0.68,1.54,7.97,63.87,20.73
93219,Tulare,9708.0,2298.0,52883.0,3.5,6.7,91.6,26.0,3.66612246699132,54.87,2.17,57.7,39.1,6429.0,0.3,2.3,0.47,1.72,8.28,48.26,9.66
93220,Kern,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,234.0,0.85,0.85,0.43,5.0,7.76,,12.23
93221,Tulare,14399.0,4719.0,84121.0,19.5,2.2,52.8,36.1,3.7376696182833684,63.13,2.05,41.5,42.0,12465.0,1.6,3.35,0.58,7.3,7.47,57.85,12.02
93222,Kern,2538.0,1211.0,56422.0,36.9,16.4,21.4,52.0,3.5234150143864045,81.83,2.01,20.6,33.9,1744.0,4.13,6.54,1.26,15.82,6.66,78.78,27.19
93223,Tulare,10359.0,2644.0,57463.0,4.6,0.3,89.2,29.3,7.389316857061601,65.77,2.24,56.7,1618.6,7827.0,0.61,2.73,0.38,3.25,7.99,63.65,6.85
93224,Kern,430.0,144.0,50500.0,3.7,0.0,18.4,41.8,2.0149030205422647,82.64,1.97,34.7,7.5,311.0,0.64,3.22,0.64,2.38,7.53,63.19,24.23
93226,Kern,64.0,33.0,,15.6,0.0,0.0,68.6,-1.2039728043259361,60.61,2.24,0.0,0.3,247.0,0.4,3.64,0.4,0.0,6.65,54.55,40.3
93230,Kings,69130.0,21947.0,73558.0,17.0,3.2,52.0,33.4,4.6210435351443815,61.46,1.99,40.0,101.6,53141.0,1.63,4.27,0.7,7.35,7.29,58.66,4.76
93234,Fresno,6477.0,1637.0,44353.0,3.0,0.0,98.0,27.1,3.456316680883235,27.24,2.11,53.9,31.7,4472.0,0.83,2.03,0.6,10.59,8.67,24.5,14.89
93235,Tulare,4408.0,1207.0,55175.0,9.3,0.0,90.5,33.2,6.384182082393644,58.16,2.2,51.0,592.4,3311.0,0.63,2.11,0.48,4.44,7.86,49.54,8.1
93238,Tulare,726.0,447.0,49665.0,54.5,2.6,7.0,65.5,0.7884573603642703,97.99,1.65,1.1,2.2,1380.0,0.94,3.41,0.58,3.97,7.64,51.23,51.26
93239,Kings,1349.0,511.0,48781.0,0.0,0.0,98.5,44.2,2.1041341542702074,16.44,1.32,46.6,8.2,898.0,0.78,2.78,0.22,5.56,8.18,16.44,9.5
93240,Kern,5622.0,2606.0,28535.0,10.4,2.4,13.1,50.1,3.2846635654062037,69.92,1.57,23.1,26.7,4527.0,0.73,2.47,0.42,5.59,8.08,43.59,46.74
93241,Kern,15571.0,4401.0,31563.0,3.7,1.1,94.0,30.6,7.269547109300332,41.35,1.71,46.5,1435.9,9705.0,0.4,1.67,0.6,3.96,8.46,38.15,9.01
93242,Fresno,2611.0,912.0,61250.0,14.5,0.2,67.3,32.7,3.2108436531709366,62.5,2.06,38.5,24.8,2426.0,0.33,2.51,0.66,3.3,8.03,60.09,14.68
93243,Kern,900.0,456.0,34737.0,40.5,9.6,31.0,42.3,0.8329091229351039,69.08,2.18,20.0,2.3,1361.0,1.4,2.87,0.59,6.88,7.5,45.39,8.77
93244,Tulare,123.0,60.0,,8.6,0.0,8.1,56.2,-0.35667494393873245,100.0,1.74,16.7,0.7,442.0,0.45,2.94,0.9,2.0,7.33,68.33,28.06
93245,Kings,37443.0,12037.0,78181.0,20.4,5.9,44.0,30.8,4.81380905109942,48.33,2.05,42.8,123.2,24683.0,1.49,4.63,0.57,5.91,7.12,46.76,3.51
93247,Tulare,17967.0,5347.0,55460.0,7.5,0.9,84.0,32.7,4.520701029361642,55.34,2.12,47.1,91.9,13318.0,0.79,2.56,0.48,4.39,8.01,51.71,1.63
93249,Kern,2164.0,541.0,43224.0,3.2,0.0,96.9,23.5,1.308332819650179,32.16,1.81,61.4,3.7,2008.0,0.2,1.89,0.75,1.81,8.34,21.63,21.32
93250,Kern,15451.0,3798.0,50982.0,4.3,0.5,90.0,27.2,4.249922794040544,53.0,2.07,59.4,70.1,10556.0,0.64,1.99,0.66,3.78,7.69,51.69,2.73
93251,Kern,280.0,73.0,74792.0,10.0,0.0,68.6,31.1,-0.2231435513142097,47.95,2.34,45.2,0.8,287.0,0.35,1.05,0.0,5.0,7.88,36.99,19.85
93255,Kern,739.0,383.0,36334.0,27.0,7.7,15.0,57.7,0.26236426446749106,85.12,2.07,0.0,1.3,441.0,0.91,4.08,0.23,7.32,8.14,48.04,20.63
93256,Tulare,5900.0,1350.0,70878.0,3.9,2.4,86.8,23.5,3.353406717825807,44.74,2.33,58.7,28.6,4255.0,0.35,1.88,0.56,1.87,8.03,41.41,19.88
93257,Tulare,79340.0,23743.0,58261.0,14.7,2.4,72.1,30.9,4.160444363926624,55.45,2.05,48.6,64.1,55216.0,0.97,2.71,0.55,4.98,7.72,50.91,12.38
93258,Tulare,1241.0,338.0,51214.0,4.7,15.6,79.0,30.7,7.121979168121693,42.6,1.91,33.4,1238.9,2566.0,0.43,1.75,0.31,2.26,8.06,38.17,12.07
93260,Tulare,151.0,60.0,56250.0,12.8,0.0,0.0,56.8,0.5877866649021191,91.67,2.54,25.0,1.8,183.0,0.0,3.83,0.55,0.0,7.8,78.33,36.04
93261,Tulare,2197.0,522.0,51154.0,1.9,1.2,94.7,26.4,4.585987366571318,43.3,1.91,64.9,98.1,1634.0,0.06,1.53,0.67,0.67,8.22,43.3,11.13
93262,Tulare,15.0,0.0,,0.0,0.0,100.0,,-2.3025850929940455,,,0.0,0.1,43.0,2.33,9.3,4.65,0.0,7.12,,56.02
93263,Kern,23423.0,6195.0,66774.0,11.1,1.2,79.5,28.1,4.601162164590552,63.45,2.07,56.6,99.6,19755.0,2.15,3.45,0.75,8.67,6.99,60.31,1.79
93265,Tulare,3532.0,1287.0,103672.0,42.6,5.8,22.2,39.8,1.2809338454620642,94.25,2.51,26.7,3.6,3752.0,1.6,4.0,1.01,6.67,7.17,90.68,21.31
93266,Kings,1672.0,358.0,60888.0,3.0,0.0,74.5,26.7,2.4423470353692043,54.47,2.66,53.6,11.5,1188.0,0.42,2.69,0.59,1.85,8.04,49.72,16.43
93267,Tulare,5879.0,1506.0,44786.0,5.4,0.3,77.1,29.1,3.4242626545931514,63.35,2.52,59.8,30.7,4741.0,0.53,2.07,0.51,2.86,7.93,50.4,6.17
93268,Kern,16956.0,5724.0,55473.0,8.8,0.3,43.9,31.3,5.07829394257007,49.06,1.63,38.5,160.5,11442.0,0.52,2.27,0.38,2.26,7.76,39.66,22.94
93270,Tulare,5703.0,1604.0,76795.0,5.8,0.6,64.0,37.2,3.56953269648137,67.21,2.8,40.5,35.5,4789.0,0.67,1.86,0.4,5.53,7.95,46.51,13.79
93271,Tulare,2218.0,1106.0,83810.0,54.5,4.5,15.1,53.2,0.7884573603642703,68.63,1.98,29.6,2.2,1849.0,2.06,8.49,1.14,11.9,7.59,67.81,40.09
93272,Tulare,4359.0,1073.0,58564.0,5.1,0.0,86.7,27.1,2.990719731730447,32.9,2.67,63.3,19.9,3110.0,0.55,1.54,0.13,2.49,7.79,30.94,14.59
93274,Tulare,79154.0,23127.0,69905.0,10.9,2.5,63.7,29.7,4.95723451736914,57.61,2.15,48.9,142.2,58714.0,1.27,3.09,0.55,5.87,7.43,54.9,3.54
93276,Kern,175.0,60.0,,13.9,0.0,9.1,36.6,4.220977213155467,65.0,1.44,30.0,68.1,190.0,0.0,1.58,0.0,0.0,7.91,50.0,6.65
93277,Tulare,53406.0,18347.0,79532.0,23.1,3.9,48.2,35.2,6.2482362794021755,60.54,2.05,38.8,517.1,36555.0,1.69,4.66,0.67,7.72,7.44,57.31,0.21
93280,Kern,27266.0,6299.0,55060.0,7.9,0.8,86.4,30.5,3.487375077903208,58.68,2.03,50.8,32.7,16898.0,0.77,2.28,0.56,4.19,7.77,56.09,11.72
93283,Kern,2129.0,992.0,33100.0,6.7,0.0,10.7,57.4,1.3862943611198906,82.06,1.82,24.9,4.0,1532.0,0.59,3.66,0.52,3.12,8.16,26.51,39.73
93285,Kern,2415.0,1357.0,39844.0,12.6,0.0,18.8,59.7,2.9231615807191558,73.18,1.62,6.4,18.6,2067.0,0.82,3.68,0.73,5.26,7.92,29.99,49.56
93286,Tulare,10516.0,2987.0,47242.0,11.7,0.8,78.7,32.3,3.86702563949741,53.2,2.03,45.9,47.8,7711.0,0.71,2.7,0.53,4.71,7.78,50.28,21.54
93287,Kern,134.0,60.0,70625.0,0.0,0.0,22.4,48.5,-0.10536051565782628,98.33,2.3,11.7,0.9,157.0,0.64,2.55,0.64,0.0,7.92,68.33,32.25
93291,Tulare,63049.0,19017.0,81502.0,23.8,9.2,52.7,32.7,5.651084685655752,59.59,2.09,46.1,284.6,48275.0,2.61,4.59,0.89,9.89,7.02,57.05,3.66
93292,Tulare,45523.0,14331.0,80784.0,18.2,2.8,56.5,32.6,5.073923033332174,62.24,2.14,41.0,159.8,34579.0,1.52,4.5,0.72,6.29,7.25,60.11,7.39
93301,Kern,14026.0,5730.0,40725.0,19.7,1.5,45.0,34.3,7.36486362024214,38.67,1.36,30.5,1579.5,13179.0,1.56,3.68,0.74,5.05,6.71,30.56,1.22
93304,Kern,51457.0,15599.0,51627.0,11.1,3.0,71.2,29.8,7.849596791700297,43.45,1.77,41.5,2564.7,29151.0,0.75,2.98,0.49,4.84,8.03,38.35,2.94
93305,Kern,36998.0,11224.0,41290.0,9.2,0.4,75.7,29.9,7.860262214989275,34.12,1.65,42.9,2592.2,19090.0,0.75,2.62,0.52,5.26,8.05,33.14,1.05
93306,Kern,73370.0,22238.0,66988.0,18.2,2.4,67.2,32.4,5.7551091018215415,63.32,1.99,44.7,315.8,49233.0,1.66,4.18,0.67,7.98,7.38,59.19,11.37
93307,Kern,88233.0,23128.0,52572.0,7.0,2.6,80.3,27.6,5.468903667123571,46.88,1.96,53.9,237.2,58220.0,0.76,2.48,0.39,4.75,7.74,43.4,10.37
